"sticsa_1","sticsa_2","sticsa_3","sticsa_4","sticsa_5","sticsa_6","sticsa_7","sticsa_8","sticsa_9","sticsa_10","sticsa_11","sticsa_12","sticsa_13","sticsa_14","sticsa_15","sticsa_16","sticsa_17","sticsa_18","sticsa_19","sticsa_20","sticsa_21","sum_sticsa"
1,1,2,2,1,2,1,1,2,1,2,1,2,1,0,1,1,1,0,0,0,23
0,1,1,1,1,0,1,0,0,1,0,0,0,0,1,2,1,0,0,0,0,10
1,1,1,1,1,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,10
1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,4
3,2,1,3,0,0,3,1,1,3,2,3,1,2,3,3,3,3,1,0,0,38
2,1,3,2,2,0,0,1,2,2,1,0,2,0,1,2,2,1,2,1,2,29
2,2,3,3,2,1,3,2,2,2,3,1,1,2,2,1,2,2,2,2,0,40
1,0,1,2,0,0,1,0,0,1,1,1,3,0,2,2,1,0,1,1,0,18
0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,1,1,0,0,1,1,9
2,3,3,1,3,0,3,3,3,3,3,1,2,2,0,3,3,0,3,0,0,41
1,3,3,2,3,0,0,1,0,2,1,1,1,1,1,3,3,0,3,1,2,32
0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
2,3,2,1,3,2,2,2,2,3,2,1,1,1,2,3,2,1,3,1,1,40
2,2,3,1,3,1,2,1,2,2,3,3,2,2,2,3,3,2,3,3,3,48
0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,5
1,2,2,0,0,0,1,0,1,2,1,1,0,0,1,2,1,1,2,0,0,18
3,1,3,2,2,0,1,1,3,3,1,0,2,0,1,3,3,1,3,0,0,33
1,0,1,0,2,0,1,0,1,1,1,0,1,0,0,2,0,0,0,0,0,11
0,2,2,1,3,1,0,0,2,1,1,0,0,0,0,1,0,0,2,0,0,16
2,2,1,1,2,0,1,0,0,2,2,2,0,0,0,2,2,0,2,1,0,22
3,3,3,3,3,3,3,3,2,3,3,2,2,2,3,3,3,3,3,3,3,59
0,1,3,1,1,1,1,0,0,2,2,0,1,0,1,2,2,0,1,0,0,19
3,2,3,3,3,1,3,0,3,3,0,0,1,1,0,2,1,1,2,1,0,33
2,1,0,0,1,1,2,0,1,1,0,0,0,0,0,1,0,0,0,0,0,10
1,3,2,0,0,0,2,0,0,0,0,0,1,0,2,2,1,0,0,0,0,14
2,2,1,1,1,0,1,1,0,0,0,1,0,1,0,2,1,1,2,1,1,19
1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5
3,3,3,1,0,1,3,1,2,3,3,1,2,3,3,3,2,1,3,3,0,44
0,0,2,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,1,9
3,2,1,0,0,1,0,1,0,0,0,0,0,0,1,2,2,2,3,0,1,19
2,2,1,2,0,1,0,1,0,1,0,0,1,0,0,2,1,1,1,1,1,18
2,2,1,2,1,1,0,0,0,2,1,0,1,0,1,1,0,0,1,1,0,17
1,1,1,1,3,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,10
0,0,1,1,2,0,1,0,1,1,2,1,2,0,0,3,1,0,0,1,0,17
0,3,2,0,1,1,2,0,1,1,3,0,1,1,1,3,3,0,1,0,0,24
2,2,1,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,11
0,2,3,2,2,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,13
1,3,2,1,1,0,1,1,0,0,0,2,1,0,1,0,0,0,0,1,0,15
2,1,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,9
0,3,2,1,3,0,1,0,0,1,1,0,2,0,0,1,2,0,0,0,0,17
2,3,1,1,1,1,1,1,0,2,3,2,0,3,3,1,3,2,2,2,0,34
1,2,0,1,0,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,9
